incident_id,utc_ts,severity,class,rule_or_gate,command,input_ref,output_ref,evidence_path,notes,state_sha256
INC-20260304-020734,2026-03-04T02:07:34.407568Z,LOW,STATE_CHANGE,Room State Model v1.0.0,office.room_set,"{""room_id"": ""conference_room""}",state.json,C:\Users\Accordion to JR\Documents\Office-App\office_app\backend\state.json,active_room: lobby -> conference_room,08af164d08936fc5c53f92578b57e5639e2c366f899943559e4ded1b191e1d97
INC-20260304-020801,2026-03-04T02:08:01.755449Z,LOW,MEMO_DISPATCH,Mailroom Dispatch Contract v1.0.0,mailroom.dispatch,"{""from_room"": ""conference_room"", ""to_room"": ""infrastructure_room"", ""memo_id"": ""1b237a03-3b86-4dcc-a201-413c6eb242bc""}",(tool_response),,Recorded memo dispatch (single-target).,08af164d08936fc5c53f92578b57e5639e2c366f899943559e4ded1b191e1d97
INC-20260304-040650,2026-03-04T04:06:50.738020Z,LOW,MEMO_DISPATCH,Mailroom Dispatch Contract v1.0.0,mailroom.dispatch,"{""from_room"": ""conference_room"", ""to_room"": ""infrastructure_room"", ""memo_id"": ""47e8e93d-d61c-4cfa-b38e-ddfe108ec4de""}",(tool_response),,Recorded memo dispatch (single-target).,08af164d08936fc5c53f92578b57e5639e2c366f899943559e4ded1b191e1d97
INC-20260304-041124,2026-03-04T04:11:24.520801Z,LOW,MEMO_DISPATCH,Mailroom Dispatch Contract v1.0.0,mailroom.dispatch,"{""from_room"": ""conference_room"", ""to_room"": ""infrastructure_room"", ""memo_id"": ""c17288ea-febd-42c3-b6b1-1116e2637a6a""}",(tool_response),,Recorded memo dispatch (single-target).,08af164d08936fc5c53f92578b57e5639e2c366f899943559e4ded1b191e1d97
INC-20260304-095448,2026-03-04T09:54:48.300478Z,LOW,MEMO_DISPATCH,Mailroom Dispatch Contract v1.0.0,mailroom.dispatch,"{""from_room"": ""conference_room"", ""to_room"": ""infrastructure_room"", ""memo_id"": ""66b9a8c3-d465-4943-979e-187a43ee1cb2""}",(tool_response),,Recorded memo dispatch (single-target).,08af164d08936fc5c53f92578b57e5639e2c366f899943559e4ded1b191e1d97
INC-20260304-095802,2026-03-04T09:58:02.902446Z,LOW,MEMO_DISPATCH,Mailroom Dispatch Contract v1.0.0,mailroom.dispatch,"{""from_room"": ""conference_room"", ""to_room"": ""infrastructure_room"", ""memo_id"": ""e8ff0cff-47ac-4d96-a69f-d3a3f764a2a1""}",(tool_response),,Recorded memo dispatch (single-target).,08af164d08936fc5c53f92578b57e5639e2c366f899943559e4ded1b191e1d97
INC-20260308-090812,2026-03-08T09:08:12.269518Z,LOW,STATE_CHANGE,Room State Model v1.1.0,office.room_set,"{""workspace_id"": ""ws_b0449f82"", ""room_id"": ""control_room""}",state.json,C:\Office-App\office_app\runtime\workspaces\ws_b0449f82\state.json,active_room: lobby -> control_room,9d942c74bae316a8ab125e8f8d452edd2c4446f1c780fce4ed84869ec9ae3da9
INC-20260308-090812,2026-03-08T09:08:12.378228Z,LOW,MEMO_DISPATCH,Mailroom Dispatch Contract v1.1.0,mailroom.dispatch,"{""workspace_id"": ""ws_b0449f82"", ""from_room"": ""control_room"", ""to_room"": ""it_department"", ""memo_id"": ""8ec9597c-6352-4dfb-89ca-aa2307c5d28e""}",(tool_response),C:\Office-App\office_app\runtime\workspaces\ws_b0449f82\memos,Recorded memo dispatch (single-target).,9d942c74bae316a8ab125e8f8d452edd2c4446f1c780fce4ed84869ec9ae3da9
INC-20260308-094647,2026-03-08T09:46:47.793257Z,LOW,STATE_CHANGE,Room State Model v1.1.0,office.room_set,"{""workspace_id"": ""ws_5c1ec1cc"", ""room_id"": ""control_room""}",state.json,C:\Office-App\office_app\runtime\workspaces\ws_5c1ec1cc\state.json,active_room: lobby -> control_room,c860f7ebf74ec7ee660bb2bc56232aef10c17813b84f3cc6d0659448f4cc3144
INC-20260308-094647,2026-03-08T09:46:47.859328Z,LOW,MEMO_DISPATCH,Mailroom Dispatch Contract v1.1.0,mailroom.dispatch,"{""workspace_id"": ""ws_5c1ec1cc"", ""from_room"": ""control_room"", ""to_room"": ""it_department"", ""memo_id"": ""cdfa5d7d-2963-4073-bfc7-d3940007e037""}",(tool_response),C:\Office-App\office_app\runtime\workspaces\ws_5c1ec1cc\memos,Recorded memo dispatch (single-target).,c860f7ebf74ec7ee660bb2bc56232aef10c17813b84f3cc6d0659448f4cc3144
INC-20260308-112108,2026-03-08T11:21:08.105690Z,LOW,STATE_CHANGE,Room State Model v1.1.0,office.room_set,"{""workspace_id"": ""ws_566f0589"", ""room_id"": ""control_room""}",state.json,C:\Office-App\office_app\runtime\workspaces\ws_566f0589\state.json,active_room: lobby -> control_room,bb5fcc215224d9bafcb6f5754ea1a09a88b287ce04e7c94dd8a91b81d48a269e
INC-20260308-112108,2026-03-08T11:21:08.185102Z,LOW,MEMO_DISPATCH,Mailroom Dispatch Contract v1.1.0,mailroom.dispatch,"{""workspace_id"": ""ws_566f0589"", ""from_room"": ""control_room"", ""to_room"": ""it_department"", ""memo_id"": ""8279c595-aa92-4676-bd66-3a0b7feeef54""}",(tool_response),C:\Office-App\office_app\runtime\workspaces\ws_566f0589\memos,Recorded memo dispatch (single-target).,bb5fcc215224d9bafcb6f5754ea1a09a88b287ce04e7c94dd8a91b81d48a269e
INC-20260308-115914,2026-03-08T11:59:14.541205Z,LOW,STATE_CHANGE,Room State Model v1.1.0,office.room_set,"{""workspace_id"": ""ws_da59af6d"", ""room_id"": ""control_room""}",state.json,C:\Office-App\office_app\runtime\workspaces\ws_da59af6d\state.json,active_room: lobby -> control_room,4285e61704c73fe29e2f0a883c4bb39bca9a0467bab7b92c4441757b0c9d0198
